path,sentence
converted_4rqv6rrro_frase_13_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_4rqv6rrro_frase_16_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_53y2suqwm_frase_13_1992-11-27_25_MontesClaros_MinasGerais_Masculino_EnsinoSuperiorIncompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_53y2suqwm_frase_16_1992-11-27_25_MontesClaros_MinasGerais_Masculino_EnsinoSuperiorIncompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_6cl0xknze_frase_13_2017-12-12_29_Aracaju_Sergipe_Feminino_EnsinoSuperiorCompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_6cl0xknze_frase_16_2017-12-12_29_Aracaju_Sergipe_Feminino_EnsinoSuperiorCompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_gwz6vvb2g_frase_13_2018-06-25_28_Brumado_Bahia_Feminino_Doutorado.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_gwz6vvb2g_frase_16_2018-06-25_28_Brumado_Bahia_Feminino_Doutorado.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_irxckyggt_frase_13_2017-11-16_40_SaoFrancisco_MinasGerais_Masculino_Mestrado.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_irxckyggt_frase_16_2017-11-16_40_SaoFrancisco_MinasGerais_Masculino_Mestrado.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_megrw5usl_frase_13_2018-07-17_19_Salvador_Bahia_Feminino_EnsinoMedioCompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_megrw5usl_frase_16_2018-07-17_19_Salvador_Bahia_Feminino_EnsinoMedioCompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_prdog3qm3_frase_13_2017-11-17_21_MontesClaros_MinasGerais_Feminino_EnsinoSuperiorIncompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_prdog3qm3_frase_16_2017-11-17_21_MontesClaros_MinasGerais_Feminino_EnsinoSuperiorIncompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_tdgxnlky5_frase_13_2018-08-29_62_Salvador_Bahia_Masculino_EnsinoMedioCompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_uodxfbr50_frase_13_2018-08-01_72_Ilheus_Bahia_Feminino_EnsinoSuperiorCompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_uodxfbr50_frase_16_2018-08-01_72_Ilheus_Bahia_Feminino_EnsinoSuperiorCompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
converted_zziqxrrlm_frase_13_2018-06-25_25_FeiradeSantana_Bahia_Masculino_EnsinoMedioCompleto.wav,Ele pulou daquele caminhão que transportava tubos de ferro e nega que naquela área tem produtos tóxicos. Foi na cidade em que encontraram o corpo do mendigo numa bocada e montaram uma emboscada para prender os assaltantes.
converted_zziqxrrlm_frase_16_2018-06-25_25_FeiradeSantana_Bahia_Masculino_EnsinoMedioCompleto.wav,A velha locomotiva vem com pouca carga e os faróis iluminam as cores da rua em que a criança desenhou um vulcão.
